AREA,ORIGINAL_BEHAVIOUR,V31_BEHAVIOUR,VERDICT,NOTE,EVIDENCE
Receipt selection,"GL_ID IS NULL + fiscal condition + RECEIPT_TYPE IN (SYSTEM,RNG,BOOK)",same predicate; excluded rows RETURNED with a reason code instead of filtered in SQL,INTENTIONAL TECHNICAL CHANGE — BUSINESS EQUIVALENT,selection set identical; V3 additionally names why a row was not selected,Golden GRO-01..07; ACC-01..07
Cancel flow,"NOT IN ('C','C1','Z') OR (='C1' AND APPROVAL_STATUS='A')",identical; rescue restricted to C1,MATCH,correlated EXISTS instead of LEFT JOIN to avoid row fan-out,ACC-15/16/16b; DB2-D01/D08
Bank path,"TR UNION TT on FIXED=1, FROMTAB routes the write-back",UNION ALL + SOURCE_TAB; routed write-back; TT sets FIXED only,MATCH,UNION ALL (disjoint id spaces) avoids a needless sort,BU 6/6; ACC-17..20
Office attribution,"5-branch CASE: explicit code / SUBSTR(INVOICE_NO,2,4) / company master / branch map / COALESCE to SSO_BRANCH",reproduced verbatim in the selection under the same alias,MATCH,no office hard-coded anywhere,OFF-01..05; ACC-11..14
Exceed money,SSO pass: per-mapping tender sum gated by receipt flag; bank pass: receipt bounded by ABS(CON.EXCEED_MONEY),both rules implemented per pass,MATCH,D13 verdict NOT EQUIVALENT to the old receipt-level shortcut — corrected to ORIGINAL,D13-01..06; ACC-09/10
Fee / fine,"separate 'FEE' stream, PAID_FINE_FEE > 0, credit 41200000",separate FEE leg; >0 gate applied in the domain,MATCH,gate moved from SQL to domain per V3's return-and-explain rule,ACC-08/26
RERE / TRRE,TRRE at SSO 1000 + RERE at the owning office; office-qualified current accounts,identical pair and accounts,MATCH,-,ACC-11/13; FL-04/05
TRRE report,"INSERT per TRRE ledger row (01/05/2013 floor, CASE_NO 1/4) then GL stamp by (SSO,LEDGER_DATE,CASE_NO)",reproduced incl. absence of a GL_ID IS NULL guard on the stamp,MATCH,-,TRRE-01..07; FL-04/05
GL_ID,generated as int; setInt on every write; character reads narrowed by Integer.parseInt,"numeric identifier, table-specific physical type; canonical readGlId",MATCH,"widened int->long: accepts every ORIGINAL value, cannot silently wrap",GL-01..16
Passbook,"ACC_TR_COMPANY_PASSBOOK 24-col insert, one row per receipt, 3 stream pairs, '0000' skipped",identical column list and order; streams merged per receipt at commit,MATCH,merge is required because V3's core models streams as separate rows,PB-01..05; PBF-01..06
Accounting mappings,makeLedgerITEM per map row; one row per side; profiles per channel/type,COR-02 per-side model; profiles resolved from master data not literals,INTENTIONAL TECHNICAL CHANGE — BUSINESS EQUIVALENT,ACCOUNT_ITEM_ID resolved by code instead of the literal 16,ACC-01..34
Document grain,GROUP BY A.RECEIPT_ID; one GL write-back per receipt,runner groups by receipt; each mapping still produces its document,MATCH,corrected in D17,ACC-22
Idempotency,re-run affects 0 rows via GL_ID/FIXED state,expected-state predicates on every UPDATE,MATCH,V3 additionally classifies 0-row updates instead of ignoring them,ID-01..05; ACC-30
Rollback / recovery,exception propagates; caller's transaction discarded,unit of work owns the boundary; passbook flush inside it,INTENTIONAL TECHNICAL CHANGE — BUSINESS EQUIVALENT,V3 makes the boundary explicit and audits the failure; ORIGINAL relied on caller,RB-01..06; PBF-01..06
WITH UR (dirty read),8 selections use WITH UR,V3 reads committed rows,DIFFERENCE — NON-GATING,"deliberate, recorded (SC-15): V3 is strictly safer; no Golden expectation depends on dirty reads",SimDialect TR-08 tripwire
