DEFECT_ID,SEVERITY,FOUND_IN,FOUND_BY,ROOT_CAUSE,FIX,RETEST,CURRENT_STATUS,GATE_IMPACT,EVIDENCE
BUILD001-D01,P1,BUILD-001 (static) / fixed BUILD-002,static contract check vs P5 DDL,Db2Adapter.mapReceipt hard-coded cancellationApproved=false and fed RECEIVE_TYPE into the receiptStatus slot; selection never reached T_RECEIPT_TO_CANCEL,Select RECEIPT_STATUS + correlated approved-cancellation COUNT; map both,DB2-D01a/b/c 9/9,CLOSED,none — proven on real DB2,12_/db2_loop_proof.txt
BUILD001-D02,P1,BUILD-001 / fixed BUILD-002,static contract check,Fee stream hard-coded to BigDecimal.ZERO; PAID_FINE_FEE never selected. Dr=Cr still balanced,"COALESCE(M.PAID_FINE_FEE,0) selected and mapped",DB2-D02a/b; ACC-08,CLOSED,none,12_/db2_loop_proof.txt
BUILD002-D08,P1,BUILD-002,found while fixing D01,SelectionService treated C/C1/Z alike; once the approval flag was populated an approved 'C' would POST — over-posting,Rescue restricted to C1 per the ORIGINAL predicate (6 identical occurrences),DB2-D08; ACC-16b,CLOSED,none,12_/db2_loop_proof.txt
BUILD002-D09,P2,BUILD-002 / ruled BUILD-003,Golden vs ORIGINAL conflict,GRO-15 fixture seeded status 'C' + approved and expected a posting; ORIGINAL rescues only C1,"Ruled FIXTURE DEFECT from 3 authorities; fixture C->C1, expectation untouched",Golden 33/33,CLOSED,none,13_/01_GRO15/
BUILD003-D10,P1,BUILD-003,dependency census,TT bank channel invisible: ORIGINAL unions FIN_TR_ + FIN_TT_RECEIPT_BY_BANK under FROMTAB; V3 read only TR,UNION ALL + SOURCE_TAB; routed write-back; UPDATE_BANK_ACCOUNTED_TT,BU 6/6; ACC-18,CLOSED,none,13_/04_TEST_RESULTS/
BUILD004-D12,P2,BUILD-004 / closed BUILD-005,self-review,TRRE GL-stamp port existed but no runtime call site (dead-code pass risk),Wired into ledgerPort.insert in the same posting window,FL-05 runtime,CLOSED,none,15_/04_FULL_LOOP/
BUILD004-D13,P1,BUILD-004 / closed BUILD-005,ORIGINAL source trace,Exceed amount: ORIGINAL sums per-mapping tender detail (BY_CASH+BY_CHEQUE) gated by the receipt flag; V3 used receipt-level EXCEED_AMOUNT,Per-pass rules implemented: SSO tender-sum gated; bank bounded by ABS(CON.EXCEED_MONEY),D13-01..06 7/7; ACC-09/10,CLOSED,none,15_/01_D13/
BUILD002-D07,P2,BUILD-002 / closed BUILD-004,adapter review,paymentMethod fed RECEIPT_TYPE instead of derived CASH/CHEQUE,EXISTS probe on the cheque record per ORIGINAL,PAY-01/02; ACC-23,CLOSED,none,14_/04_TEST_RESULTS/
BUILD005-D15,P1,BUILD-005 / closed BUILD-006,FIRST LIVE DB2 RUN (SQLCODE -206),INSERT_PASSBOOK targeted the WRONG TABLE (remain-money ledger) with 4 invented columns. Simulation suppresses the passbook port (DEF-08) so it could never see this,Rebuilt to ACC_TR_COMPANY_PASSBOOK 24-col ORIGINAL contract; per-receipt stream merge inside the unit of work; '0000' guard,"PB-01..05, PBF-01..06, ACC-01/09/24/25/33",CLOSED,none,16_/02_D15_FIX/
BUILD006-D16,P1,BUILD-006,REAL-DB2 accounting suite (ACC-17/18),Bank-line offices null on the JDBC path -> every reconciled bank line quarantined OFFICE_NOT_IN_BRANCH_MASTER,"SELECT_BANK_CANDIDATES LEFT JOINs the receipt: collecting=SSO_BRANCH, owning=COALESCE(COMPANY_SSO_CODE,SSO_BRANCH)",ACC-17/18,CLOSED,none,16_/03_ACCOUNTING_33/
BUILD006-D17,P1,BUILD-006,REAL-DB2 accounting suite (ACC-22),SSO pass iterated per MAPPING and stamped GL per row; 2nd mapping of a multi-invoice receipt hit the guarded UPDATE and failed the slice,"Runner groups candidates by receipt (ORIGINAL GROUP BY A.RECEIPT_ID), one GL stamp per receipt",ACC-22; Golden 33/33 held,CLOSED,none,16_/03_ACCOUNTING_33/
BUILD006-D18,P1,BUILD-006,REAL-DB2 accounting suite (ACC-09),EXC stream credited to the invoice account 11600000 instead of 42420000 — BALANCED BUT WRONG ACCOUNT,exceedAccount supplied as 42420000 per ORIGINAL mapAccouuntProfile,ACC-09,CLOSED,none,16_/03_ACCOUNTING_33/
BUILD001-D04,P1,BUILD-001 / closed BUILD-007,contract settlement then measured DB2 probe,GL_ID read as (Long) rs.getObject at 4 sites. On the AUTHORITATIVE P5 shapes getObject returns String (VARCHAR2(10)) and BigDecimal (NUMBER) — BOTH casts throw. BIGINT test DDL masked it,Canonical readGlId() at all 5 read sites; ORIGINAL parseInt semantics; NULL/0/positive preserved; non-numeric fails loudly,GL-01..16 16/16 on real DB2,CLOSED,none,17_/02_CONTRACT/
BUILD006-D19,P2,BUILD-006,self-review,"T_COMPANY_PASSBOOK / T_RECEIVE_BY_CASH / T_CON_INVOICE physical types in the TEST DDL follow estate naming precedent, not a production catalogue read",Not fixed — disposition documented,n/a,OPEN — P2 NON-GATING,"NON-GATING: adapter is type-agnostic on GL_ID (D04); all amounts DECIMAL(15,2) per P5",18_/07_D19/
