CASE_ID,EVENT,TITLE,RESULT,DIMENSIONS_VERIFIED,TOTALS_ONLY
ACC-01,EV-01-S01,"own-office cash receipt: ROFF Dr 11100000 / Cr 11600000 1000.00, GL stamped, passbook 1000",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-02,EV-01-S02,"re-presenting the same receipt: no second document, no state change",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-03,EV-01-S03,"cancellation NOT approved: no posting, not an error",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-04,EV-01-S04,"zero/negative amount: SKIP, no posting",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-05,EV-01-S05,GL_ID=0 tombstone is re-selected and posted,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-06,EV-01-S06,"two eligible receipts -> two documents, each its own GL",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-07,EV-01-S07,one eligible + one already posted: exactly one new document,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-08,EV-02-S01,fine/fee stream: MAIN Dr 11100000/Cr 11600000 1000 AND FEE Dr 11100000/Cr 41200000 125.50 — D02,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-09,EV-03-S01,"exceed money: EXC stream 30.00 to 42420000 from TENDER DETAIL sum (D13), passbook EXCEED_CREDIT 30",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-10,EV-03-S02,"exceed flag set but no tender detail: exceed amount is the tender SUM (0) — header value is a gate, not an amount",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-11,EV-04-S01,cross-office: TRRE at 1000 Dr 11440000/Cr 11410000 + RERE at owning 1002; TRRE report row stamped,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-12,EV-04-S02,"office resolved via employer master = collecting office -> ROFF, no TRRE",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-13,EV-05-S01,branch-map office 1002 != collecting 1001 -> inter-office TRRE/RERE 700,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-14,EV-05-S02,unknown employer -> COALESCE fallback to collecting branch -> own receipt ROFF 80,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-15,EV-06-S01,C1 + APPROVED cancellation STILL POSTS 900 (GRO-15 ruling),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-16,EV-06-S02,C1 unapproved: nothing,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-16b,D08,C + approved MUST NOT post (rescue is C1-only),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-17,EV-07-S01,"reconciled TR bank line: RERE pair posted, FIXED 1->2",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
